#Types Before Cut: 11104
#Types After Cut: 9699
#Search Hits: 0
454	7	18.423	пытаюсь
455	7	18.423	ребят
456	7	18.423	секунд
457	7	18.423	скажи
458	7	18.423	сорок
459	7	18.423	супер
460	7	18.423	троих
461	7	18.423	троллейбус
462	7	18.423	человечек
463	7	18.423	читаю
464	7	18.423	чё
465	153	18.247	еще
466	16	18.215	реально
467	16	18.215	уж
468	13	18.163	другую
469	9	17.810	брали
470	9	17.810	друзей
471	9	17.810	едем
472	9	17.810	женщина
473	9	17.810	жил
474	9	17.810	институте
475	9	17.810	историю
476	9	17.810	маленькая
477	9	17.810	мое
478	9	17.810	нечего
479	9	17.810	смеется
480	9	17.810	твоя
481	19	17.447	хотел
482	17	16.822	разные
483	10	16.755	мной
484	10	16.755	написано
485	23	16.603	равно
486	29	16.481	соответственно
487	25	16.462	лучше
488	78	16.287	больше
489	11	16.276	посмотреть
490	11	16.276	скажем
491	11	16.276	считаю
492	19	16.120	говоря
493	12	16.086	друзья
494	13	16.067	улице
495	13	16.067	языка
496	6	15.791	distinct
497	6	15.791	onion
498	6	15.791	part
499	6	15.791	автобус
500	6	15.791	автобусе
501	6	15.791	ам
502	6	15.791	антифриз
503	6	15.791	бабуля
504	6	15.791	бабушки
505	6	15.791	бешбармак
506	6	15.791	бутово
507	6	15.791	вау
508	6	15.791	верно
509	6	15.791	волосы
510	6	15.791	восемнадцать
511	6	15.791	выпускной
512	6	15.791	гончар
513	6	15.791	готовился
514	6	15.791	жигули
515	6	15.791	загрузили
516	6	15.791	запомнила
517	6	15.791	играли
518	6	15.791	колесо
519	6	15.791	коллектив
520	6	15.791	кормила
521	6	15.791	красиво
522	6	15.791	лагере
523	6	15.791	лингвистике
524	6	15.791	литературу
525	6	15.791	лук
526	6	15.791	любил
527	6	15.791	любимый
528	6	15.791	математике
529	6	15.791	мгм
530	6	15.791	мем
531	6	15.791	молодец
532	6	15.791	мужик
533	6	15.791	немец
534	6	15.791	ногой
535	6	15.791	обед
536	6	15.791	орешки
537	6	15.791	погрей
538	6	15.791	подумала
539	6	15.791	покупайте
