№;school;grade;sex;variant;short;entire;speaking;initial;final;min
1813;133;11;Ж;343;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1814;133;11;М;344;++++++++++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1815;133;11;М;338;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1816;133;11;М;342;++++++-++++-;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1817;135;11;Ж;343;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1818;135;11;Ж;346;++++++-+++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1819;135;11;М;344;-+++++++++++;1(2)0(2)0(2)0(3)0(3)1(4)0(4);;13;68;27
1820;135;11;М;345;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1821;135;11;Ж;348;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1822;135;11;Ж;343;+++++-+-+-++;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1823;135;11;Ж;338;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1824;135;11;М;337;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1825;135;11;М;344;++++++++++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1826;136;11;Ж;347;++++++-+++-+;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1827;136;11;М;343;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1828;136;13;М;102;+++++++++++-;0(2)0(2)0(2)1(3)1(3)0(4)0(4);;13;68;27
1829;136;11;М;341;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1830;136;11;Ж;337;+++++++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1831;136;11;Ж;345;+++++++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1832;136;11;Ж;346;+++++++-++++;1(2)0(2)0(2)0(3)1(3)0(4)0(4);;13;68;27
1833;136;11М;Ж;342;+++++++++-++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1834;136;11А;М;340;+++++-+-++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1835;136;11;М;346;++++++--+++-;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1836;136;11;М;345;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1837;136;11;Ж;341;+++++++++++-;0(2)1(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1838;136;11;Ж;348;+++++--++++-;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1839;136;11;Ж;337;++++++++++-+;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1840;136;11;М;339;++++++-+++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1841;136;11;Ж;338;+++++-++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1842;136;11;М;344;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1843;136;11;Ж;347;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1844;136;11;Ж;343;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1845;136;11;Ж;345;+++++++-+++-;0(2)1(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1846;136;11;М;340;++++++-+++++;0(2)0(2)0(2)0(3)1(3)0(4)1(4);;13;68;27
1847;136;11;Ж;347;+++++++-++++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1848;136;11;М;346;+++++++++-+-;0(2)1(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1849;136;11;М;338;+++++-++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1850;136;11;М;343;++++++--+++-;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1851;136;11;Ж;348;+++++++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1852;136;11;Ж;337;+++++++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1853;136;11;Ж;340;+++-++-+++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1854;136;11;Ж;344;+++++-++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1855;136;11;Ж;340;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1856;136;11;М;346;++++++--++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1857;136;11;Ж;338;+++++++-++++;0(2)1(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1858;136;11А;М;344;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1859;136;11;Ж;342;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1860;136;11А;М;343;++++++-+++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1861;136;11Б;Ж;345;++++++--+++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1862;136;11;М;343;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1863;136;11;М;344;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1864;136;11;Ж;344;+++-+++-++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1865;136;11А;М;338;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1866;136;11Б;Ж;340;++++-+-++++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1867;136;11Б;Ж;348;+++++++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1868;136;13;Ж;103;++++++-+++++;0(2)1(2)0(2)0(3)1(3)0(4)0(4);;13;68;27
1869;136;11В;Ж;342;+++++++-+-++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1870;136;11Б;М;346;+++-++-+++-+;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1871;136;13;Ж;505;+++++++-+++-;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1872;136;11Б;М;345;+++++++++++-;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1873;136;11Б;Ж;347;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1874;136;11Б;М;337;+++++-++++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1875;136;11В;Ж;341;++++++++++++;0(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1876;136;11В;М;344;+++++++-++-+;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1877;136;11Б;Ж;339;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1878;136;11Б;М;348;++++++-+-+++;1(2)1(2)0(2)1(3)0(3)0(4)0(4);;13;68;27
1879;136;11В;Ж;344;+++++++-+++-;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1880;136;11В;М;337;+++++++-++++;0(2)1(2)0(2)0(3)1(3)0(4)0(4);;13;68;27
1881;136;11А;Ж;346;-+++++-+++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1882;136;11В;Ж;348;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1883;136;11;Ж;339;++++++--++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1884;136;11;М;345;++++++++++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1885;136;12Г;М;406;+++++++++-++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1886;136;11;Ж;348;--++++++++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1887;136;11;Ж;346;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1888;136;11;Ж;344;++++++++++++;0(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1889;136;11;Ж;340;+++++++++++-;0(2)1(2)0(2)0(3)0(3)0(4)1(4);;13;68;27
1890;136;11;Ж;342;+++++++++-++;1(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1891;136;11;М;339;+++++++-++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1892;136;11;М;344;++++++--++++;1(2)1(2)0(2)0(3)0(3)0(4)1(4);;13;68;27
1893;136;11;М;344;++++++--+++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1894;136;11;М;347;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1895;136;11;М;344;-+++++--+++-;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1896;136;11;М;348;++++++-++++-;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1897;136;11;Ж;344;++++++--++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1898;137;11А;Ж;340;+++++++-++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1899;137;11Б;Ж;343;++++++-+++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1900;137;11А;Ж;347;++++++-++-++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1901;137;11А;М;348;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1902;137;11А;Ж;346;-+++++--++++;2(2)0(2)0(2)0(3)1(3)0(4)1(4);;13;68;27
1903;137;11А;М;347;++++++++++++;1(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1904;137;11А;Ж;345;++++++-+++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;13;68;27
1905;137;11Б;Ж;338;++++++--++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;13;68;27
1906;137;11А;Ж;338;++++++--+++-;1(2)1(2)2(2)0(3)0(3)0(4)0(4);;13;68;27
1907;121;11;М;348;++++++++++++;1(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1908;121;11;М;342;+++-++++++-+;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1909;121;11;Ж;346;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1910;122;11;Ж;347;++++++-++-++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1911;123;11;М;347;+++++-+-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1912;123;11;Ж;345;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1913;123;11;Ж;341;++++++-+++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1914;123;11;М;342;++++++-+++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1915;123;11;Ж;343;++++++-+++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1916;123;11;М;342;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1917;124;11;М;343;++++++-+++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1918;125;11А;М;341;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1919;125;11Б;Ж;345;++++++-+++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1920;125;11А;Ж;343;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1921;125;11А;Ж;341;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1922;125;11;М;339;++++++++++++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1923;125;11;Ж;347;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1924;125;11;Ж;346;-++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1925;126;11;Ж;339;+++++-++++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1926;126;11;М;341;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1927;126;11;М;339;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1928;126;11;Ж;342;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1929;127;11;Ж;339;++++++++++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1930;127;11;М;337;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1931;127;11;Ж;342;++++++-+++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1932;127;11;М;338;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1933;127;11;Ж;347;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1934;127;11;М;348;++++++--++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1935;128;11;Ж;343;++++++-+++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1936;128;11;Ж;343;++++++-+++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1937;128;11;М;345;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1938;128;11;Ж;341;-++++++++-+-;2(2)0(2)2(2)0(3)1(3)0(4)0(4);;14;70;27
1939;128;11;Ж;344;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1940;128;11;Ж;343;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1941;128;11;Ж;344;++++++-+++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1942;129;11;Ж;343;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)2(4);;14;70;27
1943;130;11;М;348;+++++++-++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1944;131;11;Ж;338;+++++++-++++;1(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1945;131;11;Ж;338;++++++++++++;1(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1946;131;11;Ж;342;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1947;131;11;М;343;++++++++++-+;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1948;133;11;Ж;346;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1949;133;11;Ж;346;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1950;133;11;М;348;++++++++++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1951;133;11;М;342;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1952;133;11;Ж;342;++++++-++++-;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1953;133;11;М;343;++++++++++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1954;133;11;М;340;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1955;134;11;Ж;342;+++++++-++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1956;135;11;М;340;++++++++++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1957;135;11;Ж;337;+++++++-++++;2(2)0(2)0(2)1(3)0(3)0(4)0(4);;14;70;27
1958;135;11;Ж;338;++++++-+++++;2(2)0(2)0(2)0(3)1(3)0(4)0(4);;14;70;27
1959;135;11;Ж;338;++++++++++++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1960;135;11;М;339;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1961;135;11;Ж;347;++++++--++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1962;135;11;М;342;+++++++-+-++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1963;135;11;Ж;347;++++++-+++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1964;135;11;М;338;-++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1965;135;11;М;346;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1966;135;11;М;337;+++++++-+-++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1967;135;11;Ж;339;++++++-+++-+;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1968;135;13;М;105;+++++++-++++;1(2)0(2)0(2)0(3)2(3)0(4)0(4);;14;70;27
1969;136;11;М;341;+++++--+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1970;136;11;Ж;337;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1971;136;11;Ж;337;++++++-+++-+;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1972;136;11;М;344;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1973;136;11;М;338;+++++++-+++-;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1974;136;11;Ж;339;+++-++++++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1975;136;11;М;347;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1976;136;13;Ж;103;++++++-+-++-;0(2)0(2)2(2)0(3)3(3)0(4)0(4);;14;70;27
1977;136;11;М;346;+-++-++++-++;1(2)2(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1978;136;11М;Ж;339;++++++--++++;2(2)0(2)0(2)0(3)0(3)0(4)2(4);;14;70;27
1979;136;11;М;348;++++++++++-+;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1980;136;11;Ж;337;+++++++-+---;2(2)2(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1981;136;13;М;102;++++++++++++;1(2)0(2)0(2)0(3)1(3)0(4)0(4);;14;70;27
1982;136;11;Ж;345;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1983;136;11;Ж;338;++++++++++++;1(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1984;136;11;Ж;343;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1985;136;11;Ж;338;++++++-+++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1986;136;11;Ж;345;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1987;136;11;М;343;+++++++-++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1988;136;11;М;338;++++++++++-+;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1989;136;11;М;341;++++++++++++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1990;136;11;М;341;+++++++-++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
1991;136;11;Ж;346;++++++--+-++;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1992;136;11;Ж;339;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1993;136;11;Ж;343;++++++++++++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
1994;136;11;М;337;++++++-+++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1995;136;11;М;344;+++++--++++-;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1996;136;11;Ж;343;+++++++++++-;2(2)0(2)0(2)0(3)1(3)0(4)0(4);;14;70;27
1997;136;11;М;346;++++-+++++++;0(2)1(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
1998;136;11;Ж;347;++++++--++++;2(2)0(2)0(2)0(3)2(3)0(4)0(4);;14;70;27
1999;136;11А;Ж;339;--++++++++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2000;136;11;М;341;++++++++++++;0(2)0(2)0(2)0(3)0(3)0(4)2(4);;14;70;27
2001;136;11Б;М;345;+++++++-++-+;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2002;136;13;М;501;++++++++++-+;2(2)0(2)0(2)0(3)1(3)0(4)0(4);;14;70;27
2003;136;11;М;341;+++++++++++-;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2004;136;11;М;340;++++++++++++;0(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2005;136;11;М;337;++++++++++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2006;136;11А;М;342;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2007;136;11Б;М;339;++++++++++++;1(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2008;136;11Б;М;339;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2009;136;11А;М;340;+++++++-+-+-;2(2)0(2)2(2)0(3)0(3)0(4)1(4);;14;70;27
2010;136;11А;М;346;+++++++-++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2011;136;11Б;Ж;337;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2012;136;11Б;Ж;343;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2013;136;11В;М;340;++++++--++++;0(2)2(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2014;136;11А;Ж;345;+++++--+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2015;136;11Б;М;344;++++++++++++;1(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
2016;136;11Б;Ж;340;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2017;136;11А;Ж;337;-+++++++++-+;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2018;136;11В;М;346;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2019;136;11В;Ж;343;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2020;136;11А;М;338;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2021;136;11;Ж;346;++++++++++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2022;136;11;Ж;347;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2023;136;12Б;М;344;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2024;136;11;Ж;347;+++++-++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2025;136;11;Ж;344;++++++--++++;2(2)1(2)0(2)1(3)0(3)0(4)0(4);;14;70;27
2026;136;11;Ж;346;++++++-++++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2027;136;11;Ж;340;++++++-+++++;0(2)1(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2028;136;11;Ж;346;++++++-+++++;0(2)1(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2029;136;11;М;345;-++++++++++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2030;136;11;Ж;337;++++++-++-++;2(2)1(2)0(2)0(3)0(3)0(4)1(4);;14;70;27
2031;136;11;Ж;346;++++++++++-+;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2032;136;11;М;342;+++++++-++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
2033;136;11;Ж;339;++++++-+++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2034;136;11;М;342;+++++-+-++-+;2(2)1(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2035;136;11;М;347;++++++-++-++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2036;136;11;М;348;+++++++-+++-;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2037;136;11;М;340;+++++-++++++;1(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2038;136;11;Ж;340;++++++++++++;0(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2039;136;11;Ж;344;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2040;136;11;Ж;339;++++++--++++;2(2)2(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2041;136;11;М;337;+++-+++++++-;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2042;136;11;М;338;-+++++-+++-+;1(2)2(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2043;136;11;Ж;343;+++++++++-++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2044;136;11;Ж;339;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2045;136;11;Ж;341;-++++++++++-;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2046;137;11А;М;340;++-++++-+++-;2(2)2(2)0(2)1(3)0(3)0(4)0(4);;14;70;27
2047;137;11А;М;337;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2048;137;11Б;Ж;339;++++++-+++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;14;70;27
2049;137;11А;М;340;+++-+++++++-;2(2)1(2)1(2)0(3)0(3)0(4)0(4);;14;70;27
2050;137;11;Ж;343;++++++--++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;14;70;27
2051;121;11;Ж;347;++++++-+++++;1(2)1(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2052;121;11;Ж;345;++++++++++-+;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2053;123;11;Ж;340;++++++++++++;2(2)0(2)1(2)0(3)0(3)0(4)0(4);;15;72;27
2054;123;11;Ж;343;++++++++++-+;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2055;123;11;Ж;344;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2056;123;11;М;340;++++++++++++;2(2)0(2)0(2)0(3)0(3)0(4)1(4);;15;72;27
2057;123;11;М;346;-+++++++++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2058;123;13;М;102;+++++++++-++;0(2)0(2)2(2)0(3)2(3)0(4)0(4);;15;72;27
2059;124;11;М;346;++++++-++++-;2(2)0(2)2(2)1(3)0(3)0(4)0(4);;15;72;27
2060;125;11А;М;346;++++++++++++;1(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2061;126;11;Ж;345;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2062;126;11;Ж;343;+++-++-+++++;1(2)2(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2063;126;11;Ж;342;++++++-+++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
2064;126;11;М;342;++++++++++++;2(2)1(2)0(2)0(3)0(3)0(4)0(4);;15;72;27
2065;127;11;Ж;343;+++++++-++++;2(2)0(2)2(2)0(3)0(3)0(4)0(4);;15;72;27
