05-Информатика и ИКТ;;;;;;;;;;
;;;;;;;;;;
№;school;grade;sex;variant;short;long;speaking;initial;final;min
97;148;11;Ж;331;++++++++-++++++++-++---;2(3)2(2)0(3)1(4);;23;72;40
98;148;11;Ж;333;+---++++++-++++++-+-+-+;3(3)2(2)1(3)1(4);;23;72;40
99;140;11;М;328;+-+-+-++-++++-+++++++--;3(3)2(2)2(3)1(4);;24;73;40
100;140;11;М;330;+-+++++++++++++++-++-+-;3(3)1(2)1(3)0(4);;24;73;40
101;140;11;М;329;++++++++-++--++-+++--+-;3(3)2(2)3(3)0(4);;24;73;40
102;148;11;М;328;+-++-+++-++-++++-++-++-;3(3)2(2)1(3)2(4);;24;73;40
103;144;11А;М;331;++++++++++++++++--+--++;3(3)1(2)0(3)1(4);;24;73;40
104;148;13;Ж;501;++++-++++---+++++++----;3(3)2(2)2(3)3(4);;25;75;40
105;148;11А;М;333;+++++++++-+++++++++--+-;2(3)2(2)2(3)0(4);;25;75;40
106;148;11Б;М;331;++++++++++++++++++++---;3(3)0(2)2(3)0(4);;25;75;40
107;148;11Б;Ж;332;+++++++++++++++++-+-++-;3(3)0(2)1(3)1(4);;25;75;40
108;148;11;Ж;331;++++++++++-++++++-+-++-;3(3)1(2)1(3)1(4);;25;75;40
109;140;11;М;328;+++++++++++++-+++-++++-;2(3)2(2)0(3)2(4);;26;77;40
110;140;11;М;331;++++++++++++++++-++-+--;2(3)2(2)1(3)2(4);;26;77;40
111;148;11;М;332;++++++++++++-++++++--+-;2(3)1(2)3(3)1(4);;26;77;40
112;148;11;М;329;+++++++++++--+++++++-+-;1(3)1(2)3(3)2(4);;26;77;40
113;148;11Б;Ж;332;+++++++++++++++-+++--++;3(3)2(2)1(3)0(4);;26;77;40
114;148;11Б;М;332;++++-+++++-+-++++++-+++;2(3)2(2)3(3)0(4);;26;77;40
115;148;11;Ж;329;+++++++++++++++++++-++-;2(3)2(2)1(3)0(4);;26;77;40
116;148;11;Ж;332;+++-+++++-+++++++-+-+--;3(3)2(2)3(3)1(4);;26;77;40
117;148;11;Ж;330;++++++++++++++--+-+-++-;3(3)2(2)2(3)1(4);;26;77;40
118;148;11;М;328;+++++++++-+++++++-+--+-;3(3)2(2)2(3)1(4);;26;77;40
119;148;11Б;М;328;+-++++++++++++++-+++-+-;3(3)2(2)3(3)0(4);;27;79;40
120;148;11;М;331;+-+++-++++++++++--+-+-+;3(3)2(2)3(3)2(4);;27;79;40
121;148;11;М;328;--+++++++++--++++-+-+++;3(3)2(2)3(3)2(4);;27;79;40
122;148;11;Ж;330;+-+++++++++++++++++--++;3(3)1(2)1(3)2(4);;27;79;40
123;148;11;М;331;+++++-+++--++++++-++++-;3(3)1(2)2(3)3(4);;27;79;40
124;148;11;М;329;+++++++++++++++++++-++-;3(3)2(2)1(3)0(4);;27;79;40
125;148;11;М;331;++-+++++++++++++++--+--;3(3)2(2)3(3)2(4);;28;81;40
126;148;11;М;329;+++++-+++++-+++++++++--;3(3)1(2)3(3)2(4);;28;81;40
127;148;11;М;330;++++++++++++++-++++-+++;3(3)1(2)3(3)1(4);;29;83;40
128;148;11Б;М;330;+-+++++++++++++++++-++-;3(3)2(2)2(3)2(4);;29;83;40
129;148;11;М;328;+-++++++++-++++++++-+--;3(3)1(2)3(3)4(4);;29;83;40
130;140;11;М;331;+++++++++++++++++-+++-+;3(3)2(2)3(3)1(4);;30;84;40
131;148;11;М;330;+++++++++-+++++++-+-+++;3(3)2(2)3(3)2(4);;30;84;40
132;148;11Б;М;333;+++++++++++++++-+++++-+;3(3)1(2)2(3)4(4);;31;88;40
133;148;11;Ж;330;+++++++++++++++++++-+++;3(3)2(2)3(3)1(4);;31;88;40
134;148;11;М;328;+++++++++++++++++++++++;3(3)1(2)2(3)2(4);;31;88;40
135;148;11;М;332;++++++++++++++-++++-+++;3(3)1(2)3(3)4(4);;32;91;40
136;148;11;М;330;+++++++++++++++++++-+++;3(3)2(2)3(3)2(4);;32;91;40
137;148;11;Ж;328;+++++++++++++++++++--++;3(3)2(2)3(3)4(4);;33;94;40
138;147;11;М;333;+++++++++++++++++++++++;3(3)2(2)2(3)4(4);;34;97;40
139;140;11;М;329;+++++++++++++++++++-+++;3(3)2(2)3(3)4(4);;34;97;40
140;148;11;Ж;332;-++++++++++++++++++++++;3(3)2(2)3(3)4(4);;34;97;40
141;148;11;М;329;+++++++++++++++++++++++;3(3)2(2)3(3)4(4);;35;100;40
;;;;;;;Среднее значение;;60,78;
