<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FB-RM;60;20200903;130000;22646.0000000;22753.0000000;22645.0000000;22689.0000000;23
FB-RM;60;20200903;140000;22670.0000000;22688.0000000;22551.0000000;22653.0000000;32
FB-RM;60;20200903;150000;22600.0000000;22642.0000000;22575.0000000;22578.0000000;27
FB-RM;60;20200903;160000;22450.0000000;22500.0000000;22450.0000000;22450.0000000;20
FB-RM;60;20200903;170000;22439.0000000;22450.0000000;22122.0000000;22135.0000000;225
FB-RM;60;20200903;180000;22181.0000000;22182.0000000;21565.0000000;21847.0000000;285
FB-RM;60;20200903;190000;21841.0000000;21906.0000000;21485.0000000;21890.0000000;188
FB-RM;60;20200903;200000;21888.0000000;21895.0000000;21710.0000000;21710.0000000;16
FB-RM;60;20200903;210000;21693.0000000;21870.0000000;21693.0000000;21856.0000000;7
FB-RM;60;20200903;220000;21900.0000000;21900.0000000;21600.0000000;21600.0000000;21
FB-RM;60;20200903;230000;21625.0000000;21740.0000000;21500.0000000;21740.0000000;46
FB-RM;60;20200904;0;21913.0000000;21913.0000000;21913.0000000;21913.0000000;1
FB-RM;60;20200904;110000;22351.0000000;22351.0000000;21350.0000000;21893.0000000;67
FB-RM;60;20200904;120000;21829.0000000;21829.0000000;21674.0000000;21674.0000000;38
FB-RM;60;20200904;130000;21672.0000000;21675.0000000;21646.0000000;21648.0000000;19
FB-RM;60;20200904;140000;21783.0000000;21784.0000000;21648.0000000;21706.0000000;16
FB-RM;60;20200904;150000;21532.0000000;21532.0000000;21532.0000000;21532.0000000;2
FB-RM;60;20200904;160000;21532.0000000;21575.0000000;21445.0000000;21575.0000000;51
FB-RM;60;20200904;170000;21700.0000000;21852.0000000;21215.0000000;21230.0000000;148
FB-RM;60;20200904;180000;21220.0000000;21350.0000000;20551.0000000;20989.0000000;181
FB-RM;60;20200904;190000;20860.0000000;21261.0000000;20713.0000000;21250.0000000;31
FB-RM;60;20200904;200000;21284.0000000;21425.0000000;21124.0000000;21240.0000000;22
FB-RM;60;20200904;210000;21196.0000000;21196.0000000;21000.0000000;21133.0000000;16
FB-RM;60;20200904;220000;21158.0000000;21448.0000000;21119.0000000;21448.0000000;11
FB-RM;60;20200904;230000;21443.0000000;21560.0000000;21350.0000000;21350.0000000;37
FB-RM;60;20200905;0;21300.0000000;21300.0000000;21290.0000000;21290.0000000;3
FB-RM;60;20200908;110000;21408.0000000;21408.0000000;21310.0000000;21360.0000000;41
FB-RM;60;20200908;120000;21360.0000000;21360.0000000;20967.0000000;21000.0000000;45
FB-RM;60;20200908;130000;20951.0000000;21102.0000000;20900.0000000;20900.0000000;59
FB-RM;60;20200908;140000;20900.0000000;20939.0000000;20784.0000000;20915.0000000;51
FB-RM;60;20200908;150000;20916.0000000;20916.0000000;20750.0000000;20750.0000000;8
FB-RM;60;20200908;160000;20750.0000000;20750.0000000;20643.0000000;20705.0000000;13
FB-RM;60;20200908;170000;20763.0000000;21271.0000000;20650.0000000;21271.0000000;84
FB-RM;60;20200908;180000;21294.0000000;21329.0000000;21053.0000000;21053.0000000;79
FB-RM;60;20200908;190000;21061.0000000;21061.0000000;20981.0000000;20981.0000000;56
FB-RM;60;20200908;200000;20984.0000000;21033.0000000;20914.0000000;21033.0000000;6
FB-RM;60;20200908;210000;20988.0000000;21024.0000000;20919.0000000;21009.0000000;13
FB-RM;60;20200908;220000;21003.0000000;21003.0000000;20684.0000000;20700.0000000;10
FB-RM;60;20200908;230000;20762.0000000;20800.0000000;20700.0000000;20700.0000000;17
FB-RM;60;20200909;0;20750.0000000;20750.0000000;20660.0000000;20660.0000000;5
FB-RM;60;20200909;110000;20747.0000000;20967.0000000;20613.0000000;20948.0000000;23
FB-RM;60;20200909;120000;20890.0000000;21038.0000000;20878.0000000;21038.0000000;20
FB-RM;60;20200909;130000;20930.0000000;21032.0000000;20882.0000000;21023.0000000;20
