<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MVID;D;20131125;0;283.9600000;15920
MVID;D;20131126;0;297.6800000;154460
MVID;D;20131127;0;289.3000000;77150
MVID;D;20131128;0;294.9900000;41330
MVID;D;20131129;0;293.9900000;150460
MVID;D;20131202;0;305.5900000;105110
MVID;D;20131203;0;300.0000000;154440
MVID;D;20131204;0;290.0000000;103990
MVID;D;20131205;0;283.0000000;111930
MVID;D;20131206;0;289.9300000;75050
MVID;D;20131209;0;291.0400000;7100
MVID;D;20131210;0;290.1600000;34490
MVID;D;20131211;0;287.5500000;44370
MVID;D;20131212;0;290.1700000;55020
MVID;D;20131213;0;292.7200000;34400
MVID;D;20131216;0;291.0000000;49120
MVID;D;20131217;0;291.5800000;54090
MVID;D;20131218;0;291.8700000;90740
MVID;D;20131219;0;293.7200000;81460
MVID;D;20131220;0;291.0100000;84740
MVID;D;20131223;0;298.0000000;89520
MVID;D;20131224;0;293.9900000;10710
MVID;D;20131225;0;293.2000000;16810
MVID;D;20131226;0;293.4200000;6600
MVID;D;20131227;0;294.4000000;42070
MVID;D;20131230;0;298.0000000;160360
MVID;D;20140106;0;306.2100000;78590
MVID;D;20140108;0;307.7600000;10490
MVID;D;20140109;0;306.0000000;14190
MVID;D;20140110;0;302.0000000;37440
MVID;D;20140113;0;299.4300000;37660
MVID;D;20140114;0;298.9900000;31540
MVID;D;20140115;0;294.9900000;48150
MVID;D;20140116;0;290.0000000;218640
MVID;D;20140117;0;279.0100000;168670
MVID;D;20140120;0;271.6700000;271850
MVID;D;20140121;0;261.0000000;272330
MVID;D;20140122;0;257.5000000;230310
MVID;D;20140123;0;263.9200000;158390
MVID;D;20140124;0;261.0900000;209350
MVID;D;20140127;0;250.5000000;104460
MVID;D;20140128;0;243.2900000;149130
MVID;D;20140129;0;241.5000000;215420
MVID;D;20140130;0;239.9000000;121020
MVID;D;20140131;0;232.6800000;163430
MVID;D;20140203;0;230.8800000;98570
MVID;D;20140204;0;228.0000000;142800
MVID;D;20140205;0;231.7000000;177150
MVID;D;20140206;0;235.0000000;388580
MVID;D;20140207;0;241.0000000;173640
MVID;D;20140210;0;248.0000000;88510
MVID;D;20140211;0;247.0000000;38320
MVID;D;20140212;0;248.9900000;31320
MVID;D;20140213;0;241.7300000;147170
MVID;D;20140214;0;246.0000000;37590
MVID;D;20140217;0;246.2800000;16960
MVID;D;20140218;0;243.3000000;58780
MVID;D;20140219;0;238.1000000;128000
MVID;D;20140220;0;237.3800000;38680
MVID;D;20140221;0;239.3000000;27050
MVID;D;20140224;0;238.8200000;16020
MVID;D;20140225;0;237.8800000;24880
MVID;D;20140226;0;237.0000000;27480
MVID;D;20140227;0;236.9700000;102520
MVID;D;20140228;0;238.0000000;30060
MVID;D;20140303;0;201.0400000;153580
MVID;D;20140304;0;214.8300000;290480
MVID;D;20140305;0;217.2500000;31640
MVID;D;20140306;0;215.6900000;67200
MVID;D;20140307;0;211.2000000;121220
MVID;D;20140311;0;208.3300000;206160
MVID;D;20140312;0;203.9900000;99580
MVID;D;20140313;0;193.7200000;48870
MVID;D;20140314;0;173.0000000;371740
MVID;D;20140317;0;177.4800000;249340
MVID;D;20140318;0;186.1300000;374540
MVID;D;20140319;0;189.7000000;207250
MVID;D;20140320;0;190.0000000;61850
MVID;D;20140321;0;192.2000000;643670
MVID;D;20140324;0;185.6000000;159090
MVID;D;20140325;0;186.3000000;37440
MVID;D;20140326;0;187.2500000;194830
MVID;D;20140327;0;200.9900000;390670
MVID;D;20140328;0;207.5900000;411140
MVID;D;20140331;0;213.2700000;136190
MVID;D;20140401;0;222.0000000;274340
MVID;D;20140402;0;225.0200000;58250
MVID;D;20140403;0;224.0200000;117490
MVID;D;20140404;0;230.0000000;107440
MVID;D;20140407;0;222.0000000;151100
MVID;D;20140408;0;222.4900000;91340
MVID;D;20140409;0;226.0000000;133550
MVID;D;20140410;0;236.2800000;118440
MVID;D;20140411;0;241.0000000;171460
MVID;D;20140414;0;228.5400000;76070
MVID;D;20140415;0;212.6100000;200820
MVID;D;20140416;0;222.6200000;232940
MVID;D;20140417;0;227.9500000;88500
MVID;D;20140418;0;231.7000000;33960
MVID;D;20140421;0;230.2000000;29640
MVID;D;20140422;0;226.1900000;35350
MVID;D;20140423;0;227.0000000;36960
MVID;D;20140424;0;219.9900000;605030
MVID;D;20140425;0;210.0300000;84910
MVID;D;20140428;0;216.4300000;416160
MVID;D;20140429;0;218.8500000;71690
MVID;D;20140430;0;217.7500000;26390
MVID;D;20140502;0;219.8800000;26280
MVID;D;20140505;0;216.9900000;30370
MVID;D;20140506;0;217.1000000;285730
MVID;D;20140507;0;223.6800000;88990
MVID;D;20140508;0;224.5000000;82680
MVID;D;20140512;0;230.6100000;71760
MVID;D;20140513;0;232.9200000;62530
MVID;D;20140514;0;233.7900000;80650
MVID;D;20140515;0;230.0100000;41600
MVID;D;20140516;0;230.0000000;52280
MVID;D;20140519;0;237.5000000;64540
MVID;D;20140520;0;238.5200000;73020
MVID;D;20140521;0;238.2000000;64240
MVID;D;20140522;0;241.1100000;68750
MVID;D;20140523;0;244.9700000;104560
